ID,Group,Text
1008799,groupO2,mattia ebbe un pesante litigio con la sua famiglia e nel frattempo diventò bibliotecario e padre di due gemelle
1013253,groupO1,tornare a casa dalla sua famiglia e alla vita di tutti i giorni
1003833,groupB,credo di aver avvistato max
1003349,groupB,colui che commette il male peggiore è mascherato da un bell'aspetto e la colpa viene attribuita al più scioperato
1009786,groupA,nessuno mi riconosceva perchè nessuno pensava più a me
1002429,groupO1,nessun maggior dolore che ricordarsi del tempo felice nella miseria m.d
1006315,groupA,e così dal nulla durante una seduta spiritica uno smack ne è valsa la pena
1000533,groupA,che cosa si saran detto in quel lungo discorso le vostre mani ed
1014011,groupB,trovare una strada
1012826,groupO1,mattia non torna a casa e rincomincia la vita in un altro paese con un altra famiglia
1014131,groupB,la più grande ricchezza da noi posseduta è il senso di umanità
1007387,groupB,mattia e le sue tre vite e noi di quante vite abbiamo bisogno per essere migliori
1007668,groupO1,ormai mattia non ce la fa più e decide di tornare indietro facendo sembrare la sua fuga in un suicidi d
1008589,groupB,mattia cerca di convincere pomino a sposare romilda ma alla fine lei si innamorò di mattia
1004269,groupB,lunapop cesarecremonini
1012386,groupO2,un uomo è il proprio nome la propria lingua la propria fede tempi e toni diversi per un comune sentire mistraltw latregua
1011482,groupO2,nella sofferenza l'uomo diventa egoista e cattivo
1001442,groupB,addolorato dal lutto della madre e della seconda ed ultima figlia mattia vaga per il paese solo e
1009331,groupO1,nonostante la buona azione mattia non vuole considerarsi un eroe per il timore di comparire negli articoli di cronaca
1007573,groupO1,dopo la lite mattia si trova sul ponte decide di far credere di essersi suicidato lasciando sul ponte le sue credenziali
1000439,groupO2,ce lo ricordiamo vero
1000519,groupO1,i miracoli avvengono
1012138,groupO1,il vulcano
1012270,groupO1,l'ambivalenza dell'uomo bestia che uccide e genio che crea
1003002,groupB,malagna è un pusillanime mascalzone
1011498,groupO2,ecco la vita
1001628,groupO1,la fede comincia appunto là dove la ragione finisce ec
1013420,groupO2,io son colui che mi si crede
1008116,groupO2,libero ho chiuso troppe porte per poter tornare a essere libero
1009688,groupA,chi non ha documenti se mai ti venisse in mente di farlo non può fare un duello per difendere il proprio onore francesco
1003344,groupB,caro mattia tutte le strade portano a roma tuttelestradeportanoaroma
1013790,groupO2,dove eravamo rimasti perchè lunedì si ricomincia con
1007090,groupO1,e un amico è qualcuno che se non c'è è perchè io mentire so di me
1005360,groupB,poco a poco guardando la febbre del giuoco prese anche me la prof
1008210,groupA,sentirete
1008746,groupO2,la morte la trasformazione dal bene al male dal buono al cattivo la sintesi della vita di pascal o meglio di adriano
1006174,groupB,mattia pascal comincia a costruire la sua nuova identità nel tentativo di diventare adri
1007011,groupO1,in punta di piedi entrò in casa mia e sembrò tutto un'utopia il vuoto immenso sentivo ma nel contempo fuggivo
1007052,groupO1,fui libero e da allora unico artefice del destino mio una nuova identità crebbi ma esistere in realtà non potei
1012422,groupO2,libero pensavo di esserlo ma già mi imbattevo nei confini della mia falsa identità
1005143,groupA,libero dicevo ancora ma già cominciavo a penetrare il senso e a misurare i confini di questa mia libertà
1001234,groupO1,adriano in trappola
1007204,groupO1,la vita ci trascina con la sua foga è impossibile sottrarsi ai sentimenti
1003249,groupO1,homo faber fortunae suae
1004087,groupB,mattia adesso ha una nuova consapevolezza esiste ancora ma non vive più
1011631,groupB,noi siamo come un fiume che scorre lungo gli argini della vita
1003078,groupA,adriano meis mi calzava a pennello ma l'euforia era tale che già mi stava stretto
1001410,groupB,senti il vuotola talpa la talpa ma soltanto sua madre non se ne accorgi e
1009418,groupB,la strega non era felice che mattia fosse il padre del nipote e nei suoi confronti c'era tanta gelosia
1012333,groupO1,ed ecco che mattia vuole lasciarsi tutto alle spalle finge così un suicidio e torna a casa
1008372,groupO2,l'esperienza di su storify capp via
1003768,groupO1,l unica salvezza alla quale aggrapparsi per quell anima gracile era vedere i propri figli felici aveva tenerezza
1010071,groupB,io sono il fu mattia pascal
1006797,groupO1,mattia vuole beffare il malagna e ci riesce ma il beffatore rimane beffato dovendosi prendere in moglie romilda
1004925,groupB,adriano è proprio come l'albero di cui parla paleari è vivo ma non si sente vivere
1011296,groupO2,un libro che mi ha colpito permette di analizzare fino in fondo come sarebbe la vita senza regole e costrizioni
