index,mentions
17919,2D_Aristosseno
17920,2D_Aristosseno
17921,2D_Aristosseno
17922,2D_Aristosseno
17923,2D_Aristosseno
17924,2D_Aristosseno
17925,2D_Aristosseno
18240,2D_Aristosseno
18324,2D_Aristosseno
18684,2D_Aristosseno
18885,2D_Aristosseno
135,2dBarsanti
2634,2dBarsanti
5964,2dBarsanti
5965,2dBarsanti
9002,2dBarsanti
14756,2dBarsanti
14757,2dBarsanti
14758,2dBarsanti
17926,2dBarsanti
17927,2dBarsanti
17928,2dBarsanti
17929,2dBarsanti
17930,2dBarsanti
17931,2dBarsanti
17932,2dBarsanti
17933,2dBarsanti
17934,2dBarsanti
17935,2dBarsanti
17936,2dBarsanti
136,2DCh_Can
137,2DCh_Can
138,2DCh_Can
2310,2DCh_Can
2703,2DCh_Can
4541,2DCh_Can
4542,2DCh_Can
9821,2DCh_Can
9822,2DCh_Can
9823,2DCh_Can
9824,2DCh_Can
9825,2DCh_Can
9826,2DCh_Can
9827,2DCh_Can
9828,2DCh_Can
9829,2DCh_Can
9830,2DCh_Can
9831,2DCh_Can
9832,2DCh_Can
9833,2DCh_Can
9834,2DCh_Can
9835,2DCh_Can
9836,2DCh_Can
9837,2DCh_Can
9838,2DCh_Can
9839,2DCh_Can
9840,2DCh_Can
9841,2DCh_Can
9842,2DCh_Can
9843,2DCh_Can
9844,2DCh_Can
9845,2DCh_Can
9846,2DCh_Can
9847,2DCh_Can
10522,2DCh_Can
10523,2DCh_Can
10524,2DCh_Can
10525,2DCh_Can
10526,2DCh_Can
10527,2DCh_Can
10528,2DCh_Can
10529,2DCh_Can
10530,2DCh_Can
10531,2DCh_Can
10532,2DCh_Can
10533,2DCh_Can
10534,2DCh_Can
10535,2DCh_Can
10536,2DCh_Can
10537,2DCh_Can
10538,2DCh_Can
10539,2DCh_Can
10540,2DCh_Can
10541,2DCh_Can
10542,2DCh_Can
10543,2DCh_Can
10544,2DCh_Can
10545,2DCh_Can
10546,2DCh_Can
10547,2DCh_Can
10548,2DCh_Can
14414,2DCh_Can
16860,2DCh_Can
17937,2DCh_Can
17938,2DCh_Can
17939,2DCh_Can
17940,2DCh_Can
17941,2DCh_Can
17942,2DCh_Can
17943,2DCh_Can
139,2dIte
140,2dIte
17944,2dIte
141,2DLFogazzaro
142,2DLFogazzaro
143,2DLFogazzaro
144,2DLFogazzaro
145,2DLFogazzaro
146,2DLFogazzaro
9305,2DLFogazzaro
17945,2DLFogazzaro
107,2dLssaMattei
147,2dLssaMattei
148,2dLssaMattei
785,2dLssaMattei
1426,2dLssaMattei
18884,2dLssaMattei
18886,2dLssaMattei
64,2dt_Conti
50,2dt_Conti
53,2dt_Conti
58,2dt_Conti
65,2dt_Conti
73,2dt_Conti
42,2dt_Conti
20,2dt_Conti
43,2dt_Conti
66,2dt_Conti
74,2dt_Conti
21,2dt_Conti
51,2dt_Conti
33,2dt_Conti
22,2dt_Conti
3,2dt_Conti
10,2dt_Conti
75,2dt_Conti
59,2dt_Conti
60,2dt_Conti
76,2dt_Conti
11,2dt_Conti
34,2dt_Conti
44,2dt_Conti
35,2dt_Conti
12,2dt_Conti
23,2dt_Conti
36,2dt_Conti
45,2dt_Conti
46,2dt_Conti
37,2dt_Conti
77,2dt_Conti
67,2dt_Conti
54,2dt_Conti
78,2dt_Conti
68,2dt_Conti
28,2GL_AMALDI_ROMA
29,2GL_AMALDI_ROMA
149,2GL_AMALDI_ROMA
150,2GL_AMALDI_ROMA
151,2GL_AMALDI_ROMA
152,2GL_AMALDI_ROMA
153,2GL_AMALDI_ROMA
154,2GL_AMALDI_ROMA
155,2GL_AMALDI_ROMA
156,2GL_AMALDI_ROMA
157,2GL_AMALDI_ROMA
158,2GL_AMALDI_ROMA
159,2GL_AMALDI_ROMA
160,2GL_AMALDI_ROMA
161,2GL_AMALDI_ROMA
162,2GL_AMALDI_ROMA
163,2GL_AMALDI_ROMA
164,2GL_AMALDI_ROMA
165,2GL_AMALDI_ROMA
166,2GL_AMALDI_ROMA
167,2GL_AMALDI_ROMA
168,2GL_AMALDI_ROMA
169,2GL_AMALDI_ROMA
170,2GL_AMALDI_ROMA
171,2GL_AMALDI_ROMA
172,2GL_AMALDI_ROMA
173,2GL_AMALDI_ROMA
174,2GL_AMALDI_ROMA
175,2GL_AMALDI_ROMA
176,2GL_AMALDI_ROMA
177,2GL_AMALDI_ROMA
178,2GL_AMALDI_ROMA
179,2GL_AMALDI_ROMA
180,2GL_AMALDI_ROMA
181,2GL_AMALDI_ROMA
182,2GL_AMALDI_ROMA
183,2GL_AMALDI_ROMA
184,2GL_AMALDI_ROMA
185,2GL_AMALDI_ROMA
186,2GL_AMALDI_ROMA
187,2GL_AMALDI_ROMA
188,2GL_AMALDI_ROMA
189,2GL_AMALDI_ROMA
190,2GL_AMALDI_ROMA
191,2GL_AMALDI_ROMA
192,2GL_AMALDI_ROMA
193,2GL_AMALDI_ROMA
194,2GL_AMALDI_ROMA
195,2GL_AMALDI_ROMA
196,2GL_AMALDI_ROMA
197,2GL_AMALDI_ROMA
198,2GL_AMALDI_ROMA
199,2GL_AMALDI_ROMA
200,2GL_AMALDI_ROMA
557,2GL_AMALDI_ROMA
789,2GL_AMALDI_ROMA
841,2GL_AMALDI_ROMA
1258,2GL_AMALDI_ROMA
1259,2GL_AMALDI_ROMA
2970,2GL_AMALDI_ROMA
2972,2GL_AMALDI_ROMA
2973,2GL_AMALDI_ROMA
2974,2GL_AMALDI_ROMA
2977,2GL_AMALDI_ROMA
4380,2GL_AMALDI_ROMA
6994,2GL_AMALDI_ROMA
6995,2GL_AMALDI_ROMA
6996,2GL_AMALDI_ROMA
6997,2GL_AMALDI_ROMA
6998,2GL_AMALDI_ROMA
6999,2GL_AMALDI_ROMA
7000,2GL_AMALDI_ROMA
7001,2GL_AMALDI_ROMA
7002,2GL_AMALDI_ROMA
7003,2GL_AMALDI_ROMA
7004,2GL_AMALDI_ROMA
7085,2GL_AMALDI_ROMA
7172,2GL_AMALDI_ROMA
7489,2GL_AMALDI_ROMA
7490,2GL_AMALDI_ROMA
8408,2GL_AMALDI_ROMA
9254,2GL_AMALDI_ROMA
9696,2GL_AMALDI_ROMA
9792,2GL_AMALDI_ROMA
9793,2GL_AMALDI_ROMA
14759,2GL_AMALDI_ROMA
14760,2GL_AMALDI_ROMA
14761,2GL_AMALDI_ROMA
14762,2GL_AMALDI_ROMA
14763,2GL_AMALDI_ROMA
14764,2GL_AMALDI_ROMA
14765,2GL_AMALDI_ROMA
14766,2GL_AMALDI_ROMA
14767,2GL_AMALDI_ROMA
14768,2GL_AMALDI_ROMA
14769,2GL_AMALDI_ROMA
14770,2GL_AMALDI_ROMA
14771,2GL_AMALDI_ROMA
14851,2GL_AMALDI_ROMA
14852,2GL_AMALDI_ROMA
14853,2GL_AMALDI_ROMA
14854,2GL_AMALDI_ROMA
14855,2GL_AMALDI_ROMA
16331,2GL_AMALDI_ROMA
16332,2GL_AMALDI_ROMA
16333,2GL_AMALDI_ROMA
16334,2GL_AMALDI_ROMA
16335,2GL_AMALDI_ROMA
16336,2GL_AMALDI_ROMA
16337,2GL_AMALDI_ROMA
16338,2GL_AMALDI_ROMA
16339,2GL_AMALDI_ROMA
16340,2GL_AMALDI_ROMA
16341,2GL_AMALDI_ROMA
16342,2GL_AMALDI_ROMA
16343,2GL_AMALDI_ROMA
16344,2GL_AMALDI_ROMA
16345,2GL_AMALDI_ROMA
16346,2GL_AMALDI_ROMA
16347,2GL_AMALDI_ROMA
16348,2GL_AMALDI_ROMA
16349,2GL_AMALDI_ROMA
16350,2GL_AMALDI_ROMA
16351,2GL_AMALDI_ROMA
16352,2GL_AMALDI_ROMA
16353,2GL_AMALDI_ROMA
16354,2GL_AMALDI_ROMA
16355,2GL_AMALDI_ROMA
16356,2GL_AMALDI_ROMA
16357,2GL_AMALDI_ROMA
16358,2GL_AMALDI_ROMA
16359,2GL_AMALDI_ROMA
16360,2GL_AMALDI_ROMA
16361,2GL_AMALDI_ROMA
16362,2GL_AMALDI_ROMA
16363,2GL_AMALDI_ROMA
16364,2GL_AMALDI_ROMA
16365,2GL_AMALDI_ROMA
16366,2GL_AMALDI_ROMA
16367,2GL_AMALDI_ROMA
16368,2GL_AMALDI_ROMA
16369,2GL_AMALDI_ROMA
16370,2GL_AMALDI_ROMA
16371,2GL_AMALDI_ROMA
16372,2GL_AMALDI_ROMA
16373,2GL_AMALDI_ROMA
16374,2GL_AMALDI_ROMA
16375,2GL_AMALDI_ROMA
16376,2GL_AMALDI_ROMA
16377,2GL_AMALDI_ROMA
16378,2GL_AMALDI_ROMA
16379,2GL_AMALDI_ROMA
16380,2GL_AMALDI_ROMA
16381,2GL_AMALDI_ROMA
16382,2GL_AMALDI_ROMA
16383,2GL_AMALDI_ROMA
16384,2GL_AMALDI_ROMA
16385,2GL_AMALDI_ROMA
16386,2GL_AMALDI_ROMA
16387,2GL_AMALDI_ROMA
16388,2GL_AMALDI_ROMA
16389,2GL_AMALDI_ROMA
16390,2GL_AMALDI_ROMA
16391,2GL_AMALDI_ROMA
16393,2GL_AMALDI_ROMA
16394,2GL_AMALDI_ROMA
16787,2GL_AMALDI_ROMA
16788,2GL_AMALDI_ROMA
16789,2GL_AMALDI_ROMA
17322,2GL_AMALDI_ROMA
17946,2GL_AMALDI_ROMA
17947,2GL_AMALDI_ROMA
17948,2GL_AMALDI_ROMA
17949,2GL_AMALDI_ROMA
17950,2GL_AMALDI_ROMA
17951,2GL_AMALDI_ROMA
17952,2GL_AMALDI_ROMA
17953,2GL_AMALDI_ROMA
17954,2GL_AMALDI_ROMA
17955,2GL_AMALDI_ROMA
17956,2GL_AMALDI_ROMA
17957,2GL_AMALDI_ROMA
17958,2GL_AMALDI_ROMA
17959,2GL_AMALDI_ROMA
17960,2GL_AMALDI_ROMA
17961,2GL_AMALDI_ROMA
17962,2GL_AMALDI_ROMA
17963,2GL_AMALDI_ROMA
17964,2GL_AMALDI_ROMA
17965,2GL_AMALDI_ROMA
17966,2GL_AMALDI_ROMA
17967,2GL_AMALDI_ROMA
17968,2GL_AMALDI_ROMA
17969,2GL_AMALDI_ROMA
17970,2GL_AMALDI_ROMA
18230,2GL_AMALDI_ROMA
18233,2GL_AMALDI_ROMA
18506,2GL_AMALDI_ROMA
18507,2GL_AMALDI_ROMA
18508,2GL_AMALDI_ROMA
18519,2GL_AMALDI_ROMA
18887,2GL_AMALDI_ROMA
201,2I_LOMBARDO
202,2I_LOMBARDO
203,2I_LOMBARDO
204,2I_LOMBARDO
9003,2I_LOMBARDO
9004,2I_LOMBARDO
9005,2I_LOMBARDO
9006,2I_LOMBARDO
9382,2I_LOMBARDO
9383,2I_LOMBARDO
9384,2I_LOMBARDO
9385,2I_LOMBARDO
9605,2I_LOMBARDO
9606,2I_LOMBARDO
11683,2I_LOMBARDO
13472,2I_LOMBARDO
14772,2I_LOMBARDO
17971,2I_LOMBARDO
17972,2I_LOMBARDO
17973,2I_LOMBARDO
17974,2I_LOMBARDO
17975,2I_LOMBARDO
17976,2I_LOMBARDO
17977,2I_LOMBARDO
17978,2I_LOMBARDO
17979,2I_LOMBARDO
17980,2I_LOMBARDO
17981,2I_LOMBARDO
17982,2I_LOMBARDO
17983,2I_LOMBARDO
17984,2I_LOMBARDO
17985,2I_LOMBARDO
17986,2I_LOMBARDO
17987,2I_LOMBARDO
17988,2I_LOMBARDO
18584,2I_LOMBARDO
18995,2I_LOMBARDO
18995,2I_LOMBARDO
18996,2I_LOMBARDO
18997,2I_LOMBARDO
18998,2I_LOMBARDO
18999,2I_LOMBARDO
205,3A_vico
206,3A_vico
207,3A_vico
208,3A_vico
209,3A_vico
210,3A_vico
211,3A_vico
212,3A_vico
213,3A_vico
214,3A_vico
215,3A_vico
216,3A_vico
217,3A_vico
218,3A_vico
219,3A_vico
220,3A_vico
221,3A_vico
222,3A_vico
223,3A_vico
224,3A_vico
225,3A_vico
226,3A_vico
227,3A_vico
228,3A_vico
229,3A_vico
230,3A_vico
231,3A_vico
232,3A_vico
233,3A_vico
234,3A_vico
235,3A_vico
236,3A_vico
237,3A_vico
238,3A_vico
239,3A_vico
240,3A_vico
241,3A_vico
242,3A_vico
243,3A_vico
244,3A_vico
245,3A_vico
246,3A_vico
247,3A_vico
248,3A_vico
249,3A_vico
250,3A_vico
422,3A_vico
423,3A_vico
4163,3A_vico
4164,3A_vico
4165,3A_vico
4166,3A_vico
4167,3A_vico
4168,3A_vico
4169,3A_vico
4172,3A_vico
4173,3A_vico
7005,3A_vico
7006,3A_vico
7007,3A_vico
7008,3A_vico
7009,3A_vico
7010,3A_vico
7011,3A_vico
7012,3A_vico
7013,3A_vico
7014,3A_vico
7015,3A_vico
7016,3A_vico
7651,3A_vico
7652,3A_vico
7722,3A_vico
7723,3A_vico
7724,3A_vico
7725,3A_vico
7726,3A_vico
7727,3A_vico
7728,3A_vico
7729,3A_vico
7730,3A_vico
7731,3A_vico
7732,3A_vico
7733,3A_vico
7734,3A_vico
7735,3A_vico
7736,3A_vico
7737,3A_vico
7738,3A_vico
7739,3A_vico
7740,3A_vico
7741,3A_vico
7742,3A_vico
7743,3A_vico
7744,3A_vico
7745,3A_vico
7746,3A_vico
7747,3A_vico
7748,3A_vico
7749,3A_vico
7750,3A_vico
7751,3A_vico
7820,3A_vico
7821,3A_vico
9007,3A_vico
9594,3A_vico
11684,3A_vico
11685,3A_vico
12950,3A_vico
12951,3A_vico
14773,3A_vico
14774,3A_vico
14775,3A_vico
14776,3A_vico
14777,3A_vico
14778,3A_vico
14779,3A_vico
14780,3A_vico
15682,3A_vico
15683,3A_vico
15684,3A_vico
15685,3A_vico
15894,3A_vico
16159,3A_vico
16159,3A_vico
16160,3A_vico
17989,3A_vico
17989,3A_vico
17990,3A_vico
17991,3A_vico
17992,3A_vico
17993,3A_vico
17994,3A_vico
17995,3A_vico
17996,3A_vico
17997,3A_vico
17998,3A_vico
17999,3A_vico
18000,3A_vico
18001,3A_vico
18002,3A_vico
18003,3A_vico
18004,3A_vico
18005,3A_vico
18006,3A_vico
18007,3A_vico
18008,3A_vico
18009,3A_vico
18010,3A_vico
18011,3A_vico
18012,3A_vico
18012,3A_vico
18013,3A_vico
18014,3A_vico
18014,3A_vico
18015,3A_vico
18016,3A_vico
18017,3A_vico
18018,3A_vico
18019,3A_vico
18020,3A_vico
18021,3A_vico
18022,3A_vico
18023,3A_vico
18024,3A_vico
18025,3A_vico
18026,3A_vico
18027,3A_vico
18028,3A_vico
18325,3A_vico
18888,3A_vico
18889,3A_vico
18900,3A_vico
251,3A_vico
252,3A_vico
13129,3ACquintoennio
13130,3ACquintoennio
18029,3ACquintoennio
18030,3ACquintoennio
4295,3asu__
4296,3asu__
4297,3asu__
4298,3asu__
14781,3asu__
16487,3asu__
16488,3asu__
16489,3asu__
16490,3asu__
16491,3asu__
16492,3asu__
16493,3asu__
16494,3asu__
16495,3asu__
16496,3asu__
16497,3asu__
16498,3asu__
16499,3asu__
16500,3asu__
16501,3asu__
16502,3asu__
16503,3asu__
18031,3asu__
18032,3asu__
253,3b_DaVinci
254,3b_DaVinci
255,3b_DaVinci
256,3B_DaVinci
257,3B_DaVinci
258,3B_DaVinci
259,3B_DaVinci
260,3B_DaVinci
261,3B_DaVinci
262,3B_DaVinci
263,3B_DaVinci
264,3B_DaVinci
265,3B_DaVinci
266,3B_DaVinci
267,3B_DaVinci
268,3B_DaVinci
269,3B_DaVinci
270,3B_DaVinci
271,3B_DaVinci
4332,3B_DaVinci
4333,3B_DaVinci
4334,3B_DaVinci
7667,3B_DaVinci
7668,3B_DaVinci
7926,3B_DaVinci
12952,3B_DaVinci
13651,3B_DaVinci
14992,3B_DaVinci
16687,3B_DaVinci
18033,3B_DaVinci
18034,3B_DaVinci
18035,3B_DaVinci
18036,3B_DaVinci
18037,3B_DaVinci
18038,3B_DaVinci
18039,3B_DaVinci
18040,3B_DaVinci
18279,3B_DaVinci
17799,3bZumbini
17800,3bZumbini
18041,3bZumbini
18042,3bZumbini
2311,3dFedericoII
4381,3dFedericoII
18043,3dFedericoII
18044,3dFedericoII
272,3EArchimede
273,3EArchimede
4432,3EArchimede
12953,3EArchimede
12954,3EArchimede
16750,3EArchimede
16850,3EArchimede
18045,3EArchimede
18046,3EArchimede
18047,3EArchimede
18048,3EArchimede
18049,3EArchimede
18050,3EArchimede
18051,3EArchimede
18052,3EArchimede
18053,3EArchimede
18054,3EArchimede
18055,3EArchimede
18056,3EArchimede
18057,3EArchimede
18058,3EArchimede
18059,3EArchimede
18060,3EArchimede
18061,3EArchimede
18062,3EArchimede
18371,3EArchimede
18372,3EArchimede
274,4A_Rodolico
275,4A_Rodolico
276,4A_Rodolico
277,4A_Rodolico
278,4A_Rodolico
279,4A_Rodolico
280,4A_Rodolico
281,4A_Rodolico
282,4A_Rodolico
283,4A_Rodolico
284,4A_Rodolico
680,4A_Rodolico
7017,4A_Rodolico
7018,4A_Rodolico
