Cluster,Reuse,Length,Group,Blast_text,Node,ID
cluster_107,reuse,73,groupB,e questa lampadina manca noi ci aggiriamo qua nella vita come tanti ciech,1002065___1_54,1002065
cluster_108,reuse,100,groupB,a natura ha faticato migliaia di secoli si è evoluta dal verme all uomo e diven,1002066___1_62,1002066
cluster_113,reuse,25,groupB,vevo lasciato aperta la gelosia a,1002068___1_28,1002068
cluster_114,reuse,25,groupB,a luna si mostrò nel vano della mia finestra,1002100___1_37,1002100
cluster_117,reuse,38,groupB,erchè non si fa crescere almeno i baff,1002069___19_46,1002069
cluster_121,reuse,78,groupB,mpresi così che non ostante quel mio strambo aspetto ella avrebbe potuto amarm,1002071___1_61,1002071
cluster_123,reuse,23,groupB,isse proprio così vedra,1002072___1_20,1002072
cluster_127,reuse,23,groupB, Adriano Meis con la signorina Caporal,1002537___39_69,1002537
cluster_127,reuse,23,groupB, Adriano spinge la signorina Caporale a raccontare di,1002708___11_52,1002708
cluster_127,reuse,23,groupB,l signor Anselmo ovvero che una città come Roma non possa ca,1002791___16_60,1002791
cluster_129,reuse,29,groupB,a vedevo ormai con altri occh,1002073___1_23,1002073
cluster_133,reuse,21,groupB,e tutti la chiamavano,1002076___14_32,1002076
cluster_137,reuse,79,groupB,erchè io che avevo allora 12 anni avevo scambiato un Perugino per un Raffaell,1002077___1_58,1002077
cluster_138,reuse,26,groupB,a no E poi domani lo vedra,1002078___52_73,1002078
cluster_141,reuse,26,groupB,rrare è dell uomo non è crudeltà sovrumana la giustizi,1002622___16_57,1002622
cluster_141,reuse,26,groupB,rrare è dell uomo non è crudeltà sovrumana la giustizi,1002623___16_57,1002623
cluster_141,reuse,26,groupA,rrare è dell uomo non è crudeltà sovraumana la giustizi,1002953___18_60,1002953
cluster_141,reuse,26,groupA,rrare è dell uomo non è crudeltà sovraumana la giustizi,1002955___18_60,1002955
cluster_142,reuse,73,groupB,issignore pane Le giuro che tante volte mi viene da sputarci sopra perdon,1002080___15_73,1002080
cluster_144,reuse,80,groupB,iventava acuto come un rimorso nel vedermi li con un nome falso con linea,1002081___1_58,1002081
cluster_144,reuse,80,groupB,iventava acuto come un rimors,1002098___17_41,1002098
cluster_145,reuse,76,groupB,o le faccio forse paura povera bambina con quest occhio e con questi occhial,1002083___1_53,1002083
cluster_146,reuse,96,groupB,a io non posso andare in una Taverna come te a cercar l allegria in fondo a un bicchier,1002084___1_64,1002084
cluster_148,reuse,34,groupB,aviglia colorava straordinariam,1002085___13_41,1002085
cluster_150,reuse,32,groupB,a dolce fanciulla in quella sua cura gen,1002086___14_43,1002086
cluster_150,reuse,32,groupA,a dolce fanciull,1002851___30_43,1002851
cluster_150,reuse,32,groupA,a dolce fanciulla in quella sua cura gen,1002852___30_59,1002852
cluster_152,reuse,47,groupB,iamami Adriana le ordinò quegli allora imperios,1002087___1_40,1002087
cluster_153,reuse,44,groupB,o capito caro ho capito E tu no Davver,1002088___1_29,1002088
cluster_153,reuse,44,groupA,o capito caro ho capito E tu no Davvero chiarodilu,1002845___1_39,1002845
cluster_153,reuse,44,groupA,o capito caro ho capito E tu no Davvero chiarodilu,1002846___1_39,1002846
cluster_154,reuse,26,groupB,ibertà Libertà Libertà morm,1002089___1_20,1002089
cluster_155,reuse,81,groupB,ra già cominciavo a penetrare il senso e a misurare i confini di questa liber,1002090___13_70,1002090
cluster_158,reuse,32,groupB,iamo io e l ombra mia sulla terr,1002091___1_26,1002091
cluster_160,reuse,35,groupB,e faiche pensinon ti curar di null,1002092___7_34,1002092
cluster_161,reuse,93,groupB, il mio spirito ridiventò ilare come nella prima giovinezza perdette il veleno dell esperienz,1002093___1_78,1002093
cluster_162,reuse,104,groupB, mi proponevo di trarmi in disparte ricordando di continuo me stesso che non dovevo accost,1002094___1_72,1002094
cluster_162,reuse,104,groupA, mi proponevo di trarmi in disparte quanto più mi fosse possibile ricordando di continuo me stess,1002861___1_78,1002861
cluster_163,reuse,17,groupB,a caro signor Mei,1002096___10_23,1002096
cluster_167,reuse,17,groupB,ovevo guardarmi davanti e dietro timoroso come se avessi perduto il diritto d essere l,1002128___1_72,1002128
cluster_167,reuse,17,groupA,vevo guardarmi come se avessi perduto il diritto d esser lasciato in pa,1002865___30_87,1002865
cluster_167,reuse,17,groupA,ovevo guardarmi così davanti e dietro timoros,1002945___27_64,1002945
cluster_167,reuse,17,groupA,ovevo guardarmi così come se avessi perduto il diritto di essere lasciato in pa,1002987___29_91,1002987
cluster_168,reuse,17,groupO1,me se avessi perduto il diritto di essere lasciato in pa,1002454___1_47,1002454
cluster_169,reuse,27,groupB, avessi perduto il diritto,1002097___41_64,1002097
cluster_172,reuse,27,groupA,l segreto impaccio che già av,1002857___37_56,1002857
cluster_173,reuse,67,groupB,o qui rappresento la disgrazia della sua vita la follia di suo padr,1002099___1_55,1002099
cluster_177,reuse,112,groupB,a la causa vera di tutti i nostri mali sai qual è La democrazia cioè il governo della maggioranz,1002101___1_71,1002101
cluster_177,reuse,112,groupA,a la causa vera di tutti i nostri mali sai qual è La democrazia cioè il governo della maggioranz,1002853___1_71,1002853
cluster_178,reuse,48,groupB,ati ad una delle fontane e solamente quell acqua mi,1002102___6_46,1002102
cluster_179,reuse,26,groupB, è in mano di uno sa di do,1002103___13_31,1002103
cluster_181,reuse,113,groupB,ella disgraziata non meritava di essere rispettata ma neanche d esser trattata a quel modo da un uomo qual,1002104___1_86,1002104
cluster_181,reuse,113,groupB,ella disgraziata non meritava di essere rispettata ma neanche d essere trattata a quel modo da un uomo qual,1002134___1_87,1002134
cluster_182,reuse,119,groupB,icordavo che lei dal terrazzo m aveva chiamato come per esser protetta da me e che m aveva stretto forte la man,1002105___1_87,1002105
cluster_183,reuse,79,groupB,pinto dalla curiosità pensai d andarla a sorprendere in quel momento d abbandon,1002106___1_64,1002106
cluster_183,reuse,79,groupB,pinto dalla curiosità pensai d andarla a sorprendere in quel momento d abbandon,1002135___1_64,1002135
cluster_187,reuse,33,groupB,remolanti come serpentelli di fuo,1002107___1_30,1002107
cluster_188,reuse,16,groupB,rofondamente mal,1002108___27_43,1002108
cluster_190,reuse,27,groupB,o qua se non le dispiace Ella chia,1002109___13_38,1002109
cluster_193,reuse,81,groupB,n che brutto impiccio ti sei cacciato Adriano Meis Tu hai paura di Papiano confessal,1002111___1_64,1002111
cluster_193,reuse,81,groupB,n che brutto impiccio ti sei cacciato Adriano Tu hai paura di Lui confessal,1002124___1_56,1002124
cluster_197,reuse,126,groupB,e sapesse che bisogno ho io d un amico lei dovrebbe comprenderlo lei che è solo al mondo come me Ma lei è uom,1002112___1_77,1002112
cluster_198,reuse,89,groupB,ate le marionette sospirai su le cui teste di legno il finto cielo si conserva senza strapp,1002113___1_73,1002113
cluster_198,reuse,89,groupB,ate le marionette sospirai su le cui teste di legno il finto cielo si conserva senza strappi N,1002121___1_75,1002121
cluster_198,reuse,89,groupA,ate le marionette su le cui teste di legno il finto cielo si conserva senza strapp,1002866___1_65,1002866
cluster_198,reuse,89,groupA,ate le marionette su le cui teste di legno il finto cielo si conserva senza strapp,1002867___1_65,1002867
cluster_200,reuse,40,groupB, di queste marionette caro signor Anselm,1002114___12_44,1002114
cluster_203,reuse,84,groupB,ui mi ha assicurato che lei doveva essere suo parente ed è voluto venire a conoscerl,1002115___1_66,1002115
cluster_205,reuse,66,groupB,inava il capo con gli occhi chiusi approvando tutto ciò ch io dicev,1002116___1_47,1002116
cluster_205,reuse,66,groupB,inava il capo con gli occhi chiusi approvando tutto ciò chio dicev,1002125___1_47,1002125
cluster_205,reuse,66,groupB,inava il capo con gli occhi chiusi approvando tutto ciò ch io dicev,1002126___1_47,1002126
cluster_206,reuse,110,groupB,a differenza fra la tragedia antica e la moderna consiste in ciò creda pure in un buco nel cielo di cart,1002117___1_76,1002117
cluster_208,reuse,37,groupB,n me ne andavo non potevo più andarme,1002118___2_32,1002118
cluster_209,reuse,26,groupB,vo il pianoforte io componevo ancora per me sol,1002119___10_48,1002119
cluster_210,reuse,26,groupA,l pianoforte ch era,1002871___30_46,1002871
cluster_212,reuse,38,groupB,chè non prova a ribellarsi lei per prim,1002120___4_34,1002120
cluster_214,reuse,83,groupB,minciò un assedio fitto di cerimonie che ch eran tutte uncini per tirarmi a parlar,1002122___1_64,1002122
cluster_216,reuse,79,groupB,onna brutta e vecchia esclamò tre disgrazie a cui non c è rimedio Perchè vivo i,1002123___1_55,1002123
cluster_219,reuse,79,groupA,u hai paura di Papiano confessalo e vorresti dar la colpa a,1002984___1_48,1002984
cluster_223,reuse,87,groupB,iventavo una cosa sola col mio strumento e le mie dita non vibravano più su una tastier,1002127___1_69,1002127
cluster_224,reuse,40,groupB,e vuol concedermi quest onore le risposi inchinandom,1002129___11_53,1002129
cluster_224,reuse,40,groupA,e vuol concedermi quest onor,1002868___26_48,1002868
cluster_226,reuse,30,groupB,n pianoforte Mi piacerebbe tanto sentirla sonar,1002130___17_56,1002130
cluster_229,reuse,106,groupB,on dimenticherò mai più la piega dolorosa di quella bocca appassita e sgraziata nel proferire quelle parol,1002131___1_82,1002131
cluster_230,reuse,37,groupB,on potendo con altri mi consigliai di nuo,1002132___1_33,1002132
cluster_231,reuse,93,groupB,over uomo Era in grado di saperlo meglio di me come si chiamasse quel suo zio andato in Ameri,1002133___1_72,1002133
cluster_233,reuse,84,groupB,driano Mei diceva come se tutto a un tratto fossimo diventati amiconi Adriano Tui mi veniva d,1002136___1_76,1002136
cluster_233,reuse,84,groupB,driano Mei diceva come se tutto a un tratto fossimo diventati amiconi Adriano Tui mi veniva d,1002141___1_76,1002141
cluster_233,reuse,84,groupB,driano Mei diceva come se tutt a un tratto fossimo diventati amiconiAdriano Tui mi ve,1002728___1_70,1002728
cluster_236,reuse,47,groupB,ue colpi vogliono dir si che colpi Colpi o battuti sul tavoli,1002137___1_46,1002137
cluster_236,reuse,47,groupB,ue colpi vogliono dir si che colpi Colpi o battuti sul tavoli,1002142___1_46,1002142
cluster_238,reuse,53,groupB, se io avessi paura Obbiettò Adriana Di che della prova Ribatt,1002138___1_48,1002138
cluster_238,reuse,53,groupB, se io avessi paura Obbiettò Adriana Di che della prova Ribatt,1002143___1_48,1002143
cluster_241,reuse,24,groupB,ll uno Un lanternino contr,1002139___17_39,1002139
cluster_241,reuse,24,groupA,vere un lanternino ch,1002988___58_76,1002988
cluster_244,reuse,41,groupB,iuscita oh riuscita benissimo l operazion,1002140___18_52,1002140
cluster_246,reuse,111,groupB, se gli altri non gli fanno il bene quasi per dovere egli li accusa e di tutto il male ch egli fa per diritt,1002144___1_77,1002144
cluster_247,reuse,116,groupB,n ogni età si suole stabilire tra gli anni un certo accordo di sentimenti che da lume e colore a quei lanternon,1002145___1_82,1002145
cluster_250,reuse,49,groupA,ell infelice sepolto sotto il mio nom,1002147___1_32,1002147
cluster_252,reuse,35,groupB,e questo sentimento si scinde rimane si in piedi la,1002148___1_42,1002148
cluster_252,reuse,35,groupA, questo sentimento dell,1002971___55_75,1002971
cluster_253,reuse,114,groupB,l limite è illusorio è relativo al poco lume nostro della nostra individualità nella realtà della natura non esist,1002149___1_93,1002149
cluster_253,reuse,114,groupA,l limite è illusorio è relativo al poco lume nostro della nostra individualità nella realtà della natura non esist,1002973___1_93,1002973
cluster_254,reuse,79,groupB,e la morte insomma che ci fa tanta paura non esistesse e fosse soltanto il soffio che spegne in noi questo l,1002150___1_84,1002150
cluster_254,reuse,79,groupB,e la morte che ci fa tanta paura non esistesse e fosse soltanto il soffio che spegne in noi questo l,1002158___1_77,1002158
cluster_254,reuse,79,groupB,e la morte insomma che ci fa tanta paura fosse soltanto u,1002713___2_47,1002713
cluster_254,reuse,79,groupA,e la morte insomma che ci fa tanta paura non esistesse e fosse,1002879___1_50,1002879
cluster_257,reuse,27,groupB,a poesia di Niccolò Tommase,1002152___1_22,1002152
cluster_259,reuse,23,groupB, le lucciole sperdute i,1002154___16_34,1002154
cluster_260,reuse,23,groupB,chiamo d inseguire per le lucciole sperdute che sarebbero i nostri lanternini nel bujo della sor,1002165___2_76,1002165
cluster_260,reuse,23,groupA,iamo d inseguire per ispasso le lucciole sperdute che sarebbero i nostri lanternini n,1002875___3_70,1002875
cluster_264,reuse,34,groupB,a il sentimento della vita è come un lant,1002156___14_46,1002156
cluster_272,reuse,132,groupB,on d avviso che noi fino a che siamo vivi non potremmo saper nulla della morte perchè pensarci Ingegnamoci di viver,1002159___1_89,1002159
cluster_275,reuse,108,groupB,ccordo di sentimenti che dà colore a quei lanternoni che sono termini astratti verità  Virtù Bellezza Onor,1002161___1_81,1002161
cluster_275,reuse,108,groupB,ccordo di sentimenti che dà colore a quei lanternoni che sono termini astratti Verità Virtù Bellezza Onor,1002162___1_81,1002162
cluster_276,reuse,107,groupB,driana mi dimostrava per mezzo di esse chella era col pensiero quasi tutto il giorno lì con me in camera mi,1002163___1_82,1002163
cluster_276,reuse,107,groupB,driana mi dimostrava per mezzo di esse ch ella era col pensiero quasi tutto il giorno là con me in camera mi,1002164___1_82,1002164
cluster_279,reuse,99,groupB,me le formiche che non trovino più la bocca del formicajo otturata per ispasso da un bambino crudel,1002166___1_74,1002166
cluster_281,reuse,65,groupB,opo alcuni giorni di quella prigionia cieca il desiderio d esser confortato crebbe fino all esasperazion,1002167___1_81,1002167
cluster_282,reuse,65,groupB,ei che più degli altri era in grado d intendere come e quanto dove,1002168___1_49,1002168
cluster_282,reuse,65,groupA,ei che più degli altri era in grado d intender,1002878___30_64,1002878
cluster_283,reuse,85,groupB, uomo quando soffre si fa una particolare idea del bene e del mal,1002169___1_51,1002169
cluster_283,reuse,85,groupA, uomo quando soffre si fa un idea del bene che gli altri dovrebbero fargli e,1002876___1_56,1002876
cluster_285,reuse,36,groupB,artecipiamo alle sue manifestazioni,1002170___22_54,1002170
cluster_285,reuse,36,groupB,artecipiamo a tutte le manifestazioni,1002543___8_41,1002543
cluster_287,reuse,36,groupA,re soltanto quel poco a cui esso arriv,1002979___38_67,1002979
cluster_288,reuse,116,groupB,on le pare che fosse rosso il lanternone della Virtù pagana Di violetto quello della Virtù cristian,1002171___1_79,1002171
cluster_289,reuse,113,groupB,i non prova pena o un frigido avvilimento nell assistere a una commedia mal rappresentata da comici inespert,1002172___1_89,1002172
cluster_290,reuse,99,groupB,ntentone Gli risposi io con un altra stretta che significava e ora fate pure quel che vi pia,1002173___1_70,1002173
cluster_291,reuse,15,groupB,attro colpi buj,1002174___1_13,1002174
cluster_293,reuse,15,groupB,eanche per ombr,1002175___14_26,1002175
cluster_293,reuse,15,groupB,eanche per ombr,1002185___14_26,1002185
cluster_293,reuse,15,groupB,eanche per ombr,1002192___14_26,1002192
cluster_293,reuse,15,groupO1,eanche per ombr,1002458___3_15,1002458
cluster_295,reuse,23,groupB,l giorno appresso apri,1002176___1_20,1002176
cluster_295,reuse,23,groupB,l giorno appresso apri,1002186___1_20,1002186
cluster_296,reuse,84,groupB,ebbo confessare che quel toccamento inatteso mi fece pure una strana impression,1002177___1_62,1002177
cluster_300,reuse,84,groupB,er il momento io sono mort,1002761___4_26,1002761
cluster_300,reuse,84,groupB,er il momento io sono,1002762___4_22,1002762
cluster_300,reuse,84,groupA,er il momento d,1002870___20_33,1002870
cluster_300,reuse,84,groupA,er il momento cancellarti d,1002982___20_42,1002982
cluster_301,reuse,95,groupB,l ricordo del bacio fu per il momento soffocato in me dallo stupore per quella rivelazione stra,1002178___1_76,1002178
cluster_301,reuse,95,groupB,l ricordo del bacio fu per il momento soffocato in me dallo stupore per quella rivelazione vera,1002183___1_76,1002183
cluster_302,reuse,56,groupB,a viechia mia segnare che se grata asì soto tute le sedi,1002179___1_42,1002179
cluster_302,reuse,56,groupB,a viechia mia segnore che se grata a si soto tute le sedi,1002191___21_63,1002191
cluster_304,reuse,23,groupB,e fosse lui dissi tra m,1002180___1_20,1002180
cluster_304,reuse,23,groupA,e fosse lui dissi tra m,1002978___60_79,1002978
cluster_307,reuse,113,groupB,ra due sta o egli è molto abile o l ostinazione di tenersi accanto Adriana non gli fa veder bene dove si mett,1002181___1_82,1002181
cluster_308,reuse,70,groupB,e il giuoco diventerà troppo pesante lo faremo durar poco Non permettero che A,1002182___1_62,1002182
cluster_308,reuse,70,groupB,e il giuoco diventerà troppo pesante lo faremo durar poco Non permetterò che Ad,1002202___1_62,1002202
cluster_311,reuse,106,groupB,o mi recai la mano di Adriana alla bocca poi non contento mi chinai a cercar la bocca di lei e così il p,1002184___1_70,1002184
cluster_311,reuse,106,groupB,o mi recai allora la mano di Adriana alla bocca poi non contento mi chinai a cercare la bocca di lei Un ba,1002189___1_74,1002189
cluster_311,reuse,106,groupB,o mi recai allora la mano di Adriana alla bocca poi non contento mi chinai a cercare la bocca di lei Un ba,1002190___1_74,1002190
cluster_313,reuse,106,groupB,e la mano di Adrian,1002198___23_39,1002198
cluster_313,reuse,106,groupA,e la mano di Adrian,1002886___23_39,1002886
cluster_315,reuse,107,groupB,minciai ad avvertire come uno strofinio alla traversa tra le due gambe posteriori della seggiola e mi turba,1002187___1_85,1002187
cluster_316,reuse,88,groupB,o già parlavo da un pezzo con la mano d Adriana e non pensavo non pensavo più a null,1002188___1_64,1002188
cluster_316,reuse,88,groupB,o già parlavo da un pezzo con la mano d Adriana e non pensavo ahimè non pensavo più a null,1002197___1_68,1002197
cluster_318,reuse,27,groupB,i tampoco ió aggiunse Pepit,1002193___37_57,1002193
cluster_320,reuse,40,groupB,acie segnori gracie Aquì se dano cachete,1002194___1_28,1002194
cluster_321,reuse,74,groupB,o cercai al bujo la mano di Adriana chera fredda e tremante Ma non gliela strinsi,1002195___1_63,1002195
cluster_321,reuse,74,groupB,o cercai al bujo la mano di Adriana ch era fredda e tremante Ma non gliela strinsi,1002196___1_63,1002196
cluster_325,reuse,74,groupB,cciò forte forte forte Mi,1002312___32_51,1002312
cluster_326,reuse,83,groupB,a delicata leggerezza del tocco e la precisione erano state a ogni modo meraviglios,1002199___1_64,1002199
cluster_327,reuse,39,groupB,na Caporale cacciò uno strillo acutissimo,1002200___8_39,1002200
cluster_328,reuse,24,groupB, avevo costretta a intre,1002201___1_21,1002201
cluster_330,reuse,42,groupB,i all uscio mi fecero balzar dalla poltrona,1002203___12_46,1002203
cluster_334,reuse,44,groupB, non volli lasciarla più li esposta per terr,1002204___1_36,1002204
cluster_336,reuse,44,groupB,ientrando in cas,1002219___1_15,1002219
cluster_337,reuse,26,groupB, se mi metto a correre m in,1002205___1_21,1002205
cluster_339,reuse,40,groupB,e avevo fatto Niente siamo giusti Avevo fatto all amor,1002206___18_63,1002206
cluster_342,reuse,54,groupB,vremmo veduto Papiano attener la promessa di restituir,1002207___13_61,1002207
cluster_344,reuse,84,groupB,ei si starà zitta gliel impongo Non dirà nulla a nessuno ha capito Vuole uno scandal,1002208___1_65,1002208
cluster_345,reuse,51,groupB,i recai allo stipetto a muro in cui tenevo il denar,1002209___1_41,1002209
cluster_347,reuse,51,groupB,a di volersene andar,1002691___22_40,1002691
cluster_348,reuse,16,groupB,on siamo content,1002210___18_32,1002210
cluster_349,reuse,16,groupA, bocca povera Adriana Dimentica Dimen,1002924___32_61,1002924
cluster_350,reuse,16,groupA, allora perchè non seguita,1002915___1_21,1002915
cluster_353,reuse,61,groupB,tre cose Non viviamo noi secondo il signor Anselmo in relaz,1002211___21_68,1002211
cluster_354,reuse,61,groupB,on viviamo noi secondo il signor Anselmo in relazione con l uni,1002218___1_51,1002218
cluster_356,reuse,61,groupB,n relazione con l Univers,1002248___13_34,1002248
cluster_357,reuse,85,groupB,driana accanto a me era la vita la vita che aspetta un bacio per schiudersi alla gioj,1002212___1_64,1002212
cluster_357,reuse,85,groupB,driana accanto a me era la vita la vita che aspetta un bacio per schiudersi alle gioj,1002236___1_64,1002236
cluster_358,reuse,105,groupA,ell ombra di vita sorta da una menzogna macabra si sarebbe chiusa degnamente così con una menzogna macabr,1002213___1_76,1002213
cluster_359,reuse,114,groupB, determinar le nostre azioni non concorrano anche la vista delle cose circostanti il vario frastuono della vit,1002214___1_89,1002214
cluster_360,reuse,75,groupB,e speranze le avevo acceso in cuore con quel bacio Mia sposa è vero Aperte l,1002215___1_55,1002215
cluster_360,reuse,75,groupB,e speranze le avevo acceso in cuor con quel baci,1002246___15_48,1002246
cluster_362,reuse,47,groupB,i buttai su la poltrona con le mani su la facci,1002216___1_35,1002216
cluster_363,reuse,47,groupB,i sentivo fremere le labbra al ricordo di quel baci,1002240___1_38,1002240
cluster_363,reuse,47,groupA,i sentivo fremere le labbra al ricordo di quel baci,1002899___1_38,1002899
cluster_364,reuse,113,groupB,e ragioni le scuse e le persuasioni che in quel bujo avevano avuto il loro peso e il loro valore non ne ebbero p,1002217___1_84,1002217
cluster_367,reuse,20,groupB, non ero Adriano Mei,1002221___12_29,1002221
cluster_371,reuse,20,groupB,n è quella di Mattia Pascal,1002582___41_61,1002582
cluster_372,reuse,53,groupB,i è avvenuto spesso svegliandomi nel cuor della nott,1002222___1_43,1002222
cluster_373,reuse,111,groupB,imasi là solo in mezzo alla camera vuoto sbalordito annientato come se tutto il mondo per me si fosse fatto van,1002223___1_89,1002223
cluster_373,reuse,111,groupB,imasi lì solo in mezzo alla camera vuoto sbalordito annientato come se tutto il mondo per me si fosse fatto van,1002224___1_89,1002224
cluster_375,reuse,96,groupB,orse una cosa siamo noi di giorno altra di notte miserabilissima cosa ahimè così di giorno come d,1002225___1_73,1002225
cluster_378,reuse,95,groupB,adro ladro anche ladro Ho sentito nel bujo n è nato il sospetto Ma non volli creder,1002227___13_77,1002227
cluster_379,reuse,31,groupB, ioChe potevo fare ioDenunziari,1002228___1_28,1002228
cluster_383,reuse,23,groupB,a compagnia di me stess,1002229___43_61,1002229
cluster_386,reuse,29,groupB,ell ombra e non poteva amare aveva,1002230___14_42,1002230
cluster_386,reuse,29,groupB,ell ombraenonpotevalegareallas,1002283___59_87,1002283
cluster_386,reuse,29,groupA,ell ombra e non poteva amar,1002904___14_36,1002904
cluster_388,reuse,113,groupB,er quelle sofferenze credevo com ogni altro uomo d aver diritto ad un compenso e me l ero pres,1002231___1_73,1002231
cluster_389,reuse,68,groupB,erchèSenti io ti amo e non posso non debbo amarti Se tu vuoi però l attaz,1002232___1_55,1002232
cluster_389,reuse,68,groupB,erchèSenti io ti amo e non posso non debbo amarti Se tu vuoi però La tenta,1002233___1_56,1002233
cluster_389,reuse,68,groupA,erchè Senti io ti amo e non posso non debbo amarti Se tu vuoi pe,1002896___1_48,1002896
cluster_390,reuse,78,groupB,e lo sarei cavato con un dito quell occhio Che m importava più d averlo a post,1002234___25_81,1002234
cluster_391,reuse,92,groupB,roppe cose senza parlare le avevo detto stringendole la mano inducendola a intrecciar con le mie,1002235___1_77,1002235
cluster_391,reuse,92,groupA,roppe cose senza parlare le avevo detto stringendole la mano inducendola a intreccia,1002906___1_69,1002906
cluster_392,reuse,92,groupB,m altro è il giorno altro la notte così forse siamo una cosa noi di giorno altra di nott,1002247___1_66,1002247
cluster_392,reuse,92,groupO1,m altro è il giorno altro è la notte così forse siamo noi di giorno altra di notte miserabilis,1002459___1_71,1002459
cluster_392,reuse,92,groupB,m altro giorno altro la notte così forse una cosa siamo noi di giorno altra la nott,1002493___1_64,1002493
cluster_392,reuse,92,groupB,m altro è il giorno altro la notte così forse una cosa siamo noi di giorno altra la notte miserabilis,1002545___1_77,1002545
cluster_393,reuse,105,groupB,lla era venuta con la scusa di quella nota per aver da me una parola che la raffermasse nelle sue speranz,1002238___1_83,1002238
cluster_394,reuse,119,groupB,i è avvenuto di provare al bujo una strana meraviglia al ricordo di qualche cosa fatta durante il giorn,1002239___1_79,1002239
cluster_398,reuse,120,groupB,i spingeva irresistibilmente a carezzare in lei il mio dolore il quale soltanto il lei poteva trovar confort,1002241___1_88,1002241
cluster_398,reuse,120,groupB,i spingeva irresistibilmente a carezzare in lei il mio dolore il quale soltanto in lei poteva trovar confort,1002242___1_88,1002242
cluster_399,reuse,120,groupB,n lei il mio dolor,1002658___5_20,1002658
cluster_400,reuse,39,groupB,on seppi resistere le porsi ambo le man,1002243___1_33,1002243
cluster_402,reuse,30,groupB, universo ci fa commettere d,1002244___21_43,1002244
cluster_402,reuse,30,groupA,o universo ci fa commetter,1002900___39_60,1002900
cluster_402,reuse,30,groupA, L universo lo guida gli fa commettere,1002964___33_62,1002964
cluster_405,reuse,104,groupB,o che aprendo dopo 40 giorni le finestre della mia camera io non provai alcuna gioia a riveder la lu,1002245___1_76,1002245
cluster_408,reuse,104,groupA, è sembrata una fortuna l essere creduto morto Ebbene sono morto davvero Sono vivo per la,1002395___2_71,1002395
cluster_408,reuse,104,groupB,i è sembrata una fortuna l essere creduto morto Ebbene sono morto davvero Sono vivo per la morte e,1002401___1_77,1002401
cluster_408,reuse,104,groupB,i è sembrava una fortuna l essere creduto morto Ebbene sono morto davvero Sono vivi per la morte è m,1002402___1_77,1002402
cluster_408,reuse,104,groupA, è sembrata una fortuna l essere creduto morto Ebbene sono morto davvero Sono vivo per la mo,1002991___2_73,1002991
cluster_409,reuse,20,groupB,orto Peggio che mort,1002249___56_71,1002249
cluster_410,reuse,68,groupB,ra tutto là Adriano Meis in quel cappello in quel bastone Avrei lasciato tu,1002250___1_58,1002250
cluster_410,reuse,68,groupB,ra tutto lì Adriano Meis in quel cappello in quel bastone Avrei lasciato tu,1002251___1_58,1002251
cluster_411,reuse,57,groupB,orse Adriana crede che lei possa avere qualche ragione pe,1002252___1_45,1002252
cluster_413,reuse,40,groupB,o ero ben sicuro di non aver paura di lu,1002253___1_31,1002253
cluster_416,reuse,110,groupB,a no Che andavo fantasticando A ben altre conclusioni dovevo arrivare seguendo la logica di quella mia menzogn,1002254___1_85,1002254
cluster_417,reuse,83,groupB,apiano e Paleari accorsero a trattenermi mentre il Bernaldez si ritraeva gridandom,1002255___1_69,1002255
cluster_419,reuse,85,groupB,ita tutt a un tratto la afferò pel collo e la gettò in braccio alla signora Candida grid,1002256___3_65,1002256
cluster_422,reuse,85,groupB,lla signora Candida St,1002666___46_64,1002666
cluster_423,reuse,102,groupB,rima de tuto lei parli italiano porquè aquí siamo a Roma dove ci sono aquesti segnori che no comprendon,1002257___1_78,1002257
cluster_423,reuse,102,groupB,rima de tuto lei parli italiano porquè aquì siamo a Roma dove ci sono aquesti segnori che no comprendon,1002258___1_78,1002258
cluster_424,reuse,32,groupB, il signor Meis Ha ritrovato il denaro come,1002259___11_45,1002259
cluster_426,reuse,32,groupB,ver ritrovato il danaro,1002266___36_57,1002266
cluster_426,reuse,32,groupB,ver ritrovato il denaro è fel,1002286___53_77,1002286
cluster_426,reuse,32,groupB,itrovato il danaro ch egli m,1002295___40_62,1002295
cluster_427,reuse,81,groupB,que doveva ella credere che fosse generosità da parte mia sacrifizio per amor di le,1002260___4_68,1002260
cluster_427,reuse,81,groupB,oveva ella credere che fosse generosità da parte mia sacrifizio per amor di le,1002290___1_62,1002290
cluster_428,reuse,65,groupB,i avevano ucciso davvero Ed esse esse sole si erano liberate di m,1002261___1_52,1002261
cluster_429,reuse,71,groupB,utta la vita si spegneva e io già la vedevo come da lo,1002262___1_40,1002262
cluster_429,reuse,71,groupA,utta la mia vita si spegneva ammutoliva con quella nott,1002394___1_45,1002394
cluster_429,reuse,71,groupA,utta la mia vita si spegneva ammutoliva con quella nott,1002498___1_45,1002498
cluster_429,reuse,71,groupB,utta la vita si rinserrava si spegneva ammutoliva con quella notte e io già la vedevo come da lontan,1002548___1_78,1002548
cluster_430,reuse,90,groupB,offocarla la mia passione non rivolgere più ad Adriana ne uno sguardo ne una parola d amor,1002263___16_87,1002263
cluster_430,reuse,90,groupA,offocarla la mia passione non rivolgere più ad Adriana nè uno sguardo nè una parola d amor,1002910___7_76,1002910
