Cluster,Reuse,Length,Group,Blast_text,Node,ID
cluster_375,reuse,77,groupO1,ra possibile che ci fosse sotto in quella mia strana esistenza qualche mister,1011335___1_61,1011335
cluster_376,reuse,81,groupO1,l ricordo di ciò che avevo fatto in quei giorni al bujo me la offuscò orribilment,1011337___1_58,1011337
cluster_378,reuse,20,groupO1,e forte forte la man,1011338___13_30,1011338
cluster_385,reuse,97,groupO1, Il mio pensiero corse subito ad Adriana che se n era scappata singhiozzando dopo quella mia smentit,1011341___16_94,1011341
cluster_387,reuse,73,groupO1,on potendo starmi accanto ella domanda a se stessa perchè rimanga,1011342___1_52,1011342
cluster_387,reuse,73,groupO1,on potendo starmi accanto ella domanda a se stessa perchè rimanga,1011343___1_52,1011343
cluster_388,reuse,30,groupO1,ra almeno ero vivo e agguerrit,1011344___1_25,1011344
cluster_390,reuse,71,groupO1,a piangeva per un bisogno irrefrenabile di dare una sfogo all animo cos,1011345___2_56,1011345
cluster_390,reuse,71,groupO2, piangeva per un bisogno irrefrenabile di dare uno sfogo all animo cos,1011461___4_57,1011461
cluster_391,reuse,71,groupB,ianto esprime il bisogno inarrestabile di dare sfogo al proprio animo pe,1011747___3_61,1011747
cluster_393,reuse,107,groupO1,erchè riconosco che oltre alla generosità ci vorrebbe una buona dose di coraggio per amare veramente un uomo,1011346___1_79,1011346
cluster_397,reuse,115,groupO1,estai al bujo là  nella sala d ingresso con quella gracile bombetta in braccio che vagiva con la vocina agra di latt,1011348___1_79,1011348
cluster_397,reuse,115,groupO1,estai al bujo là nella sala d ingresso con quella gracile bombetta in braccio che vagiva con la vocina agra di latt,1011349___1_79,1011349
cluster_398,reuse,30,groupO1,itornai sul ponte cheto chinat,1011350___1_26,1011350
cluster_400,reuse,16,groupO1,a dolce fanciull,1011351___14_27,1011351
cluster_405,reuse,117,groupO1,enevo a quella manina un lungo discorso intenso stringente e pur carezzevole che essa ascoltava tremante e abbandonat,1011353___1_93,1011353
cluster_406,reuse,113,groupO1,oleva godersi la scena del mio ritorno impreveduto alla vita quel mio piombar come un nibbio là sul nido di Pomin,1011354___1_87,1011354
cluster_407,reuse,102,groupO2,veva una testa quell ombra ma per pensare e comprendere ch era la testa di un ombra e non l ombra d una test,1011355___1_81,1011355
cluster_408,reuse,24,groupO2,bbene sono morto davver,1011356___1_20,1011356
cluster_410,reuse,44,groupO2,iventare un altro uomo vivere un altra vit,1011360___18_54,1011360
cluster_411,reuse,44,groupB,o avere un altra vit,1011774___42_59,1011774
cluster_417,reuse,67,groupO2,ll Adriano Meis dovevo uccidere che avrebbe dovuto avere pure di s,1011362___2_53,1011362
cluster_418,reuse,27,groupO2,sa in veste da camera inten,1011363___18_40,1011363
cluster_422,reuse,101,groupO2, che dire Io già parlavo da un pezzo con la mano d Adriana e non pensavo ahimè non pensavo più a null,1011364___1_75,1011364
cluster_424,reuse,106,groupO2,o avreipotuto ribellarmi è vero dichiararmi vivo allora Machi al posto mio non si sarebbe regolato come m,1011365___1_82,1011365
cluster_426,reuse,45,groupO2,o soffro appunto per questa tirannia maschera,1011368___49_87,1011368
cluster_426,reuse,45,groupO2,o soffro appunto per questa tirannia maschera,1011459___21_59,1011459
